index,real,imag
0,0.70101,0
1,0.681158,0.221327
2,0.573184,0.416466
3,0.414844,0.571038
4,0.2119,0.652303
5,-6.00103e-05,0.717745
6,-0.21519,0.662055
7,-0.421333,0.579767
8,-0.550875,0.400115
9,-0.680178,0.220883
10,-0.703204,-0.000126307
11,-0.688988,-0.224017
12,-0.56457,-0.410372
13,-0.418997,-0.576987
14,-0.219208,-0.675243
15,0.000195064,-0.707719
16,0.219423,-0.674639
17,0.42625,-0.586295
18,0.55993,-0.406528
19,0.652009,-0.211596
20,0.680168,0.000252653
21,0.643671,0.209407
22,0.550581,0.40035
23,0.421087,0.580078
24,0.215552,0.664374
25,-0.000312136,0.693912
26,-0.215508,0.66221
27,-0.410057,0.563816
28,-0.550628,0.399628
29,-0.669712,0.217213
30,-0.720263,-0.00039314
31,-0.675801,-0.220003
32,-0.564173,-0.4104
33,-0.420985,-0.580172
34,-0.216028,-0.666278
35,0.000462259,-0.720215
36,0.209761,-0.644128
37,0.423963,-0.582701
38,0.585121,-0.42449
39,0.668125,-0.216556
40,0.695183,0.000512814
41,0.682959,0.222465
42,0.579952,0.422032
43,0.400752,0.552491
44,0.221574,0.683789
45,-0.000572003,0.700957
46,-0.210911,0.647278
47,-0.407574,0.559971
48,-0.574848,0.416885
49,-0.643023,0.208296
50,-0.703136,-0.000641288
51,-0.680336,-0.221755
52,-0.577842,-0.420666
53,-0.406699,-0.560917
54,-0.213167,-0.658274
55,0.000702086,-0.696482
56,0.214208,-0.656967
57,0.413806,-0.568303
58,0.577544,-0.418671
59,0.646436,-0.209265
60,0.675144,0.000745277
61,0.66306,0.216252
62,0.551938,0.401956
63,0.398871,0.550321
64,0.217838,0.673098
65,-0.000800284,0.67692
66,-0.20987,0.643283
67,-0.409276,0.561877
68,-0.580308,0.42052
69,-0.643123,0.208069
70,-0.713069,-0.00091148
71,-0.68775,-0.22445
72,-0.548763,-0.399805
73,-0.396979,-0.547933
74,-0.220134,-0.68064
75,0.000974653,-0.709221
76,0.214712,-0.657696
77,0.404882,-0.555619
78,0.563203,-0.40796
79,0.669927,-0.216598
80,0.700604,0.00102995
81,0.667372,0.217929
82,0.545503,0.397575
83,0.423281,0.58445
84,0.218817,0.67697
85,-0.00105657,0.682341
86,-0.223703,0.684834
87,-0.418431,0.574003
88,-0.573752,0.415449
89,-0.649898,0.209998
90,-0.698875,-0.00114927
91,-0.65616,-0.214407
92,-0.555849,-0.405279
93,-0.42071,-0.581135
94,-0.208492,-0.64545
95,0.00122195,-0.702082
96,0.218963,-0.669887
97,0.400991,-0.549857
98,0.555205,-0.401856
99,0.662948,-0.214074
100,0.715383,0.00131366
101,0.681137,0.2227
102,0.578744,0.422126
103,0.402329,0.555949
104,0.216675,0.671184
105,-0.00135572,0.708071
106,-0.22027,0.673485
107,-0.420436,0.576311
108,-0.557484,0.403358
109,-0.650647,0.209977
110,-0.705369,-0.00141827
111,-0.686407,-0.224569
